signal,unit,pair,hole_A,hole_B,factor_type,diff_params,drilling_speed_A,rotation_speed_A,drilling_speed_B,rotation_speed_B,stage,hole,role,N_samples,mean,std,rms,variance,skewness,kurtosis_excess,minimum,maximum,peak_to_peak,p10,p25,p50,p75,p90,iqr,coeff_variation,crest_factor,shape_factor,impulse_factor,autocorr_lag1,autocorr_lag5,first_diff_variance,first_diff_mean_abs,smoothness_index,zero_crossing_rate,mean_crossing_rate,dominant_freq,dominant_freq_power,spectral_centroid,spectral_variance,spectral_skewness,spectral_kurtosis,spectral_entropy,spectral_rolloff_85,band_energy_low_pct,band_energy_mid_pct,band_energy_high_pct,dc_ratio,sample_entropy
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-2,Case-2RCT_2-1,Case-2RCT_2-2,双因素,,,,,,original,Case-2RCT_2-1,A,60,0.918168,0.05579,0.919833,0.003113,0.008434,-0.370136,0.795147,1.043719,0.248572,0.848922,0.880599,0.915849,0.954537,0.998366,0.073938,0.060762,1.134683,1.001814,1.136741,0.061218,-0.16774,0.005849,0.059991,1.879183,0.491525,0.491525,0.3,0.104106,0.248066,0.026444,0.037662,-1.422402,4.362576,0.45,26.745588,18.993592,54.26082,0.99812,1.94591
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-2,Case-2RCT_2-1,Case-2RCT_2-2,双因素,,,,,,original,Case-2RCT_2-2,B,60,1.010428,0.062906,1.012352,0.003957,0.353593,0.437301,0.870148,1.188251,0.318103,0.939967,0.97125,1.004326,1.045454,1.084348,0.074204,0.062256,1.173753,1.001904,1.175988,-0.068623,-0.16588,0.008204,0.072041,2.073339,0.576271,0.576271,0.266667,0.084907,0.262835,0.021818,0.098883,-1.336377,4.483961,0.45,17.430311,31.759195,50.810493,0.998094,
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-2,Case-2RCT_2-1,Case-2RCT_2-2,双因素,,,,,,final_comm,Case-2RCT_2-1,A,60,0.864156,0.026784,0.864564,0.000717,-0.154584,-0.294888,0.80311,0.919501,0.116391,0.830575,0.846085,0.865745,0.877816,0.901351,0.031732,0.030995,1.063544,1.000472,1.064046,0.157531,0.059208,0.001205,0.028433,1.679152,0.525424,0.525424,0.033333,0.132592,0.224113,0.024888,0.215479,-1.461143,4.253235,0.416667,25.880756,30.178213,43.941031,0.999521,
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-2,Case-2RCT_2-1,Case-2RCT_2-2,双因素,,,,,,final_comm,Case-2RCT_2-2,B,60,0.915746,0.027841,0.916162,0.000775,0.118169,-0.16002,0.854202,0.987075,0.132873,0.878408,0.897705,0.916108,0.934996,0.946743,0.037291,0.030402,1.077403,1.000454,1.077892,0.071409,0.063083,0.001387,0.029493,1.789215,0.440678,0.440678,0.183333,0.111985,0.233442,0.02131,0.366965,-1.370697,4.319702,0.433333,16.623795,45.847741,37.528464,0.999545,
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-3,Case-2RCT_2-1,Case-2RCT_2-3,双因素,,,,,,original,Case-2RCT_2-1,A,60,0.918168,0.05579,0.919833,0.003113,0.008434,-0.370136,0.795147,1.043719,0.248572,0.848922,0.880599,0.915849,0.954537,0.998366,0.073938,0.060762,1.134683,1.001814,1.136741,0.061218,-0.16774,0.005849,0.059991,1.879183,0.491525,0.491525,0.3,0.104106,0.248066,0.026444,0.037662,-1.422402,4.362576,0.45,26.745588,18.993592,54.26082,0.99812,1.94591
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-3,Case-2RCT_2-1,Case-2RCT_2-3,双因素,,,,,,original,Case-2RCT_2-3,B,60,1.110853,0.066922,1.112834,0.004479,0.320849,-0.428876,0.986051,1.25414,0.268089,1.033045,1.067531,1.105646,1.150489,1.199882,0.082958,0.060243,1.126979,1.001783,1.128988,0.170002,0.251916,0.00742,0.070946,1.656707,0.508475,0.508475,0.2,0.160687,0.218668,0.018959,0.492328,-0.801382,4.184368,0.4,19.786483,46.440383,33.773134,0.998205,1.94591
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-3,Case-2RCT_2-1,Case-2RCT_2-3,双因素,,,,,,final_comm,Case-2RCT_2-1,A,60,0.865696,0.023564,0.866011,0.000555,0.073799,-0.505961,0.816827,0.912584,0.095757,0.835639,0.84777,0.864809,0.879517,0.898968,0.031747,0.027219,1.053779,1.000364,1.054162,0.382906,-0.236183,0.000651,0.019954,1.172904,0.457627,0.457627,0.033333,0.173617,0.195157,0.02543,0.665397,-0.875466,4.02637,0.45,35.149024,28.231438,36.619538,0.999621,1.99243
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-3,Case-2RCT_2-1,Case-2RCT_2-3,双因素,,,,,,final_comm,Case-2RCT_2-3,B,60,0.975932,0.029996,0.976385,0.0009,0.08941,-0.184693,0.899517,1.043555,0.144039,0.935226,0.959014,0.971368,0.994388,1.018826,0.035374,0.030736,1.068795,1.000464,1.069291,0.305146,0.277278,0.001219,0.027849,1.355176,0.40678,0.40678,0.2,0.236127,0.191165,0.012655,0.912264,1.031599,3.810219,0.25,16.017359,60.83218,23.150462,0.999533,2.833213
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-4,Case-2RCT_2-1,Case-2RCT_2-4,双因素,,,,,,original,Case-2RCT_2-1,A,60,0.918168,0.05579,0.919833,0.003113,0.008434,-0.370136,0.795147,1.043719,0.248572,0.848922,0.880599,0.915849,0.954537,0.998366,0.073938,0.060762,1.134683,1.001814,1.136741,0.061218,-0.16774,0.005849,0.059991,1.879183,0.491525,0.491525,0.3,0.104106,0.248066,0.026444,0.037662,-1.422402,4.362576,0.45,26.745588,18.993592,54.26082,0.99812,1.94591
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-4,Case-2RCT_2-1,Case-2RCT_2-4,双因素,,,,,,original,Case-2RCT_2-4,B,60,1.231199,0.064142,1.23284,0.004114,0.425679,-0.269343,1.095962,1.393958,0.297996,1.160875,1.182045,1.221056,1.271106,1.320035,0.089061,0.052097,1.130689,1.001334,1.132196,0.050111,0.04762,0.007688,0.068387,1.868735,0.457627,0.457627,0.35,0.163982,0.242435,0.014274,0.005888,-1.348583,4.122388,0.383333,11.036705,40.537323,48.425972,0.998667,2.639057
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-4,Case-2RCT_2-1,Case-2RCT_2-4,双因素,,,,,,final_comm,Case-2RCT_2-1,A,60,0.835256,0.023939,0.835593,0.000573,0.027563,-0.368362,0.784567,0.88839,0.103822,0.806563,0.818362,0.835405,0.847916,0.870067,0.029554,0.028661,1.063184,1.000404,1.063614,0.106121,-0.200315,0.000997,0.024265,1.739727,0.457627,0.457627,0.45,0.10537,0.255681,0.025324,0.248171,-1.42758,4.244981,0.45,15.720675,37.379753,46.899572,0.999577,2.302585
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-4,Case-2RCT_2-1,Case-2RCT_2-4,双因素,,,,,,final_comm,Case-2RCT_2-4,B,60,0.936496,0.028876,0.936933,0.000834,0.387546,-0.514198,0.884382,1.006781,0.122399,0.900045,0.911522,0.935426,0.95439,0.978532,0.042869,0.030834,1.074549,1.000467,1.075051,0.335362,0.166443,0.001082,0.02592,1.297763,0.389831,0.389831,0.183333,0.272937,0.19868,0.010131,1.188742,0.709626,3.690435,0.3,6.452593,73.727586,19.819821,0.999532,1.673976
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-5,Case-2RCT_2-1,Case-2RCT_2-5,双因素,,,,,,original,Case-2RCT_2-1,A,55,0.923273,0.05394,0.924819,0.00291,0.026106,-0.38837,0.797631,1.043719,0.246089,0.861772,0.884941,0.918072,0.95598,1.000247,0.071039,0.058423,1.128566,1.001674,1.130455,-0.050931,-0.205943,0.006216,0.061977,2.136307,0.518519,0.518519,0.309091,0.15973,0.25824,0.024509,-0.144511,-1.408664,4.204433,0.436364,26.505163,13.76753,59.727307,0.998327,2.140066
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-5,Case-2RCT_2-1,Case-2RCT_2-5,双因素,,,,,,original,Case-2RCT_2-5,B,55,1.323177,0.062866,1.324643,0.003952,0.41606,-0.332284,1.205497,1.474584,0.269086,1.261819,1.277282,1.318619,1.364375,1.421521,0.087093,0.047511,1.113194,1.001108,1.114427,0.203238,-0.115442,0.006361,0.064809,1.609555,0.388889,0.388889,0.236364,0.183835,0.21905,0.013836,0.757073,-0.228681,4.122471,0.363636,8.765504,62.849642,28.384854,0.998893,2.70805
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-5,Case-2RCT_2-1,Case-2RCT_2-5,双因素,,,,,,final_comm,Case-2RCT_2-1,A,55,0.826268,0.020868,0.826527,0.000435,0.302788,-0.609257,0.783791,0.87012,0.08633,0.801822,0.809901,0.824075,0.840751,0.856368,0.03085,0.025255,1.052743,1.000313,1.053072,0.191081,-0.47611,0.000714,0.021188,1.640688,0.481481,0.481481,0.309091,0.275389,0.212231,0.014193,0.268923,-0.948293,3.7573,0.309091,25.89871,28.964737,45.136553,0.999687,2.014903
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-5,Case-2RCT_2-1,Case-2RCT_2-5,双因素,,,,,,final_comm,Case-2RCT_2-5,B,55,0.923009,0.029215,0.923463,0.000854,0.446694,-0.147775,0.87415,1.00398,0.12983,0.886461,0.904238,0.922726,0.939607,0.965059,0.035369,0.031652,1.08719,1.000492,1.087724,0.316765,-0.100221,0.001189,0.027855,1.393091,0.425926,0.425926,0.109091,0.167644,0.196077,0.008068,0.885153,0.418767,3.805502,0.309091,7.111061,71.749586,21.139353,0.999508,1.609438
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-6,Case-2RCT_2-1,Case-2RCT_2-6,双因素,,,,,,original,Case-2RCT_2-1,A,60,0.918168,0.05579,0.919833,0.003113,0.008434,-0.370136,0.795147,1.043719,0.248572,0.848922,0.880599,0.915849,0.954537,0.998366,0.073938,0.060762,1.134683,1.001814,1.136741,0.061218,-0.16774,0.005849,0.059991,1.879183,0.491525,0.491525,0.3,0.104106,0.248066,0.026444,0.037662,-1.422402,4.362576,0.45,26.745588,18.993592,54.26082,0.99812,1.94591
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-6,Case-2RCT_2-1,Case-2RCT_2-6,双因素,,,,,,original,Case-2RCT_2-6,B,60,1.417456,0.072897,1.419298,0.005314,0.360758,-0.006997,1.264705,1.609514,0.344809,1.318687,1.373127,1.412372,1.462057,1.507325,0.088929,0.051428,1.134021,1.0013,1.135495,0.047496,-0.057699,0.010122,0.076313,1.904777,0.508475,0.508475,0.266667,0.150988,0.243995,0.018345,0.240546,-1.044364,4.273373,0.45,16.164529,32.406803,51.428668,0.998701,2.079442
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-6,Case-2RCT_2-1,Case-2RCT_2-6,双因素,,,,,,final_comm,Case-2RCT_2-1,A,60,0.813257,0.022398,0.81356,0.000502,0.177054,-0.896722,0.772699,0.860021,0.087322,0.785362,0.793115,0.814771,0.827761,0.845122,0.034646,0.027541,1.057108,1.000373,1.057502,0.190204,-0.563382,0.000789,0.022563,1.572507,0.457627,0.457627,0.3,0.220919,0.225639,0.013081,0.34243,-0.642643,3.863839,0.316667,11.721146,38.516861,49.761993,0.999622,1.658228
pressure,MPa,Case-2RCT_2-1 vs Case-2RCT_2-6,Case-2RCT_2-1,Case-2RCT_2-6,双因素,,,,,,final_comm,Case-2RCT_2-6,B,60,0.88461,0.033323,0.885227,0.00111,0.371499,0.335834,0.820201,0.967262,0.147062,0.837521,0.870559,0.883462,0.901045,0.924296,0.030485,0.03767,1.092671,1.000697,1.093433,0.282986,-0.010133,0.001612,0.029335,1.452109,0.440678,0.440678,0.266667,0.146521,0.201136,0.006361,0.652151,1.181728,3.871403,0.266667,8.448772,57.978533,33.572694,0.999303,2.104134
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-3,Case-2RCT_2-2,Case-2RCT_2-3,双因素,,,,,,original,Case-2RCT_2-2,A,60,1.010428,0.062906,1.012352,0.003957,0.353593,0.437301,0.870148,1.188251,0.318103,0.939967,0.97125,1.004326,1.045454,1.084348,0.074204,0.062256,1.173753,1.001904,1.175988,-0.068623,-0.16588,0.008204,0.072041,2.073339,0.576271,0.576271,0.266667,0.084907,0.262835,0.021818,0.098883,-1.336377,4.483961,0.45,17.430311,31.759195,50.810493,0.998094,
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-3,Case-2RCT_2-2,Case-2RCT_2-3,双因素,,,,,,original,Case-2RCT_2-3,B,60,1.110853,0.066922,1.112834,0.004479,0.320849,-0.428876,0.986051,1.25414,0.268089,1.033045,1.067531,1.105646,1.150489,1.199882,0.082958,0.060243,1.126979,1.001783,1.128988,0.170002,0.251916,0.00742,0.070946,1.656707,0.508475,0.508475,0.2,0.160687,0.218668,0.018959,0.492328,-0.801382,4.184368,0.4,19.786483,46.440383,33.773134,0.998205,1.94591
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-3,Case-2RCT_2-2,Case-2RCT_2-3,双因素,,,,,,final_comm,Case-2RCT_2-2,A,60,0.86727,0.025238,0.867631,0.000637,-0.133999,-0.062257,0.797402,0.932181,0.134779,0.835695,0.849389,0.867143,0.886313,0.897741,0.036924,0.0291,1.074399,1.000416,1.074846,0.128785,-0.15338,0.001033,0.025765,1.621744,0.474576,0.474576,0.083333,0.234124,0.218669,0.025031,0.4789,-1.471436,4.001258,0.433333,40.48976,22.282295,37.227946,0.999583,2.484907
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-3,Case-2RCT_2-2,Case-2RCT_2-3,双因素,,,,,,final_comm,Case-2RCT_2-3,B,60,0.901256,0.025842,0.90162,0.000668,0.360852,-0.416827,0.850728,0.958125,0.107397,0.87221,0.881553,0.896635,0.917776,0.936793,0.036223,0.028673,1.06267,1.000404,1.0631,0.006173,0.325978,0.001315,0.028497,1.968702,0.474576,0.474576,0.166667,0.167729,0.245923,0.019335,0.012353,-1.25587,4.155709,0.4,20.026589,32.548686,47.424725,0.999594,1.845827
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-4,Case-2RCT_2-2,Case-2RCT_2-4,双因素,,,,,,original,Case-2RCT_2-2,A,60,1.010428,0.062906,1.012352,0.003957,0.353593,0.437301,0.870148,1.188251,0.318103,0.939967,0.97125,1.004326,1.045454,1.084348,0.074204,0.062256,1.173753,1.001904,1.175988,-0.068623,-0.16588,0.008204,0.072041,2.073339,0.576271,0.576271,0.266667,0.084907,0.262835,0.021818,0.098883,-1.336377,4.483961,0.45,17.430311,31.759195,50.810493,0.998094,
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-4,Case-2RCT_2-2,Case-2RCT_2-4,双因素,,,,,,original,Case-2RCT_2-4,B,60,1.231199,0.064142,1.23284,0.004114,0.425679,-0.269343,1.095962,1.393958,0.297996,1.160875,1.182045,1.221056,1.271106,1.320035,0.089061,0.052097,1.130689,1.001334,1.132196,0.050111,0.04762,0.007688,0.068387,1.868735,0.457627,0.457627,0.35,0.163982,0.242435,0.014274,0.005888,-1.348583,4.122388,0.383333,11.036705,40.537323,48.425972,0.998667,2.639057
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-4,Case-2RCT_2-2,Case-2RCT_2-4,双因素,,,,,,final_comm,Case-2RCT_2-2,A,60,0.847021,0.028562,0.847494,0.000816,0.431169,0.363456,0.792733,0.935285,0.142553,0.814761,0.827487,0.847756,0.862646,0.880154,0.035159,0.03372,1.103589,1.000559,1.104206,0.148484,0.002115,0.001338,0.0296,1.639576,0.474576,0.474576,0.183333,0.145735,0.217715,0.015269,0.66005,-0.713817,4.095411,0.416667,18.573745,50.017812,31.408443,0.999441,2.302585
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-4,Case-2RCT_2-2,Case-2RCT_2-4,双因素,,,,,,final_comm,Case-2RCT_2-4,B,60,0.901219,0.029276,0.901687,0.000857,0.457376,-0.316793,0.847114,0.9716,0.124487,0.86736,0.882397,0.896697,0.920176,0.946026,0.037779,0.032485,1.077537,1.000519,1.078096,0.362792,0.185392,0.001059,0.025187,1.235046,0.355932,0.355932,0.183333,0.283527,0.192127,0.010853,1.067609,0.47742,3.592215,0.3,15.307776,65.289254,19.40297,0.999481,1.832581
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-5,Case-2RCT_2-2,Case-2RCT_2-5,双因素,,,,,,original,Case-2RCT_2-2,A,55,1.012003,0.063907,1.013982,0.004084,0.309812,0.438791,0.870148,1.188251,0.318103,0.938049,0.972204,1.01578,1.046711,1.085468,0.074507,0.063149,1.171866,1.001956,1.174158,-0.090409,-0.154987,0.008644,0.073846,2.116507,0.574074,0.574074,0.490909,0.100409,0.27865,0.021922,-0.028213,-1.255914,4.41989,0.472727,12.785346,31.376634,55.83802,0.998046,
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-5,Case-2RCT_2-2,Case-2RCT_2-5,双因素,,,,,,original,Case-2RCT_2-5,B,55,1.323177,0.062866,1.324643,0.003952,0.41606,-0.332284,1.205497,1.474584,0.269086,1.261819,1.277282,1.318619,1.364375,1.421521,0.087093,0.047511,1.113194,1.001108,1.114427,0.203238,-0.115442,0.006361,0.064809,1.609555,0.388889,0.388889,0.236364,0.183835,0.21905,0.013836,0.757073,-0.228681,4.122471,0.363636,8.765504,62.849642,28.384854,0.998893,2.70805
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-5,Case-2RCT_2-2,Case-2RCT_2-5,双因素,,,,,,final_comm,Case-2RCT_2-2,A,55,0.844149,0.024307,0.844493,0.000591,0.123935,0.631931,0.786311,0.915607,0.129296,0.813419,0.829713,0.844298,0.857489,0.871247,0.027776,0.028795,1.08421,1.000407,1.084651,0.327199,0.164037,0.000769,0.021896,1.302249,0.407407,0.407407,0.2,0.17913,0.191805,0.006955,0.805493,0.882951,3.954955,0.272727,11.251663,71.184562,17.563776,0.999593,2.159484
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-5,Case-2RCT_2-2,Case-2RCT_2-5,双因素,,,,,,final_comm,Case-2RCT_2-5,B,55,0.915956,0.030927,0.916469,0.000956,0.433454,-0.26275,0.864985,0.998543,0.133557,0.877948,0.892393,0.916045,0.929855,0.960358,0.037462,0.033764,1.089555,1.000559,1.090164,0.341052,0.018538,0.001281,0.02847,1.339781,0.351852,0.351852,0.236364,0.227241,0.191218,0.006022,0.57128,-0.088839,3.651604,0.254545,8.311506,76.688131,15.000364,0.999441,2.302585
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-6,Case-2RCT_2-2,Case-2RCT_2-6,双因素,,,,,,original,Case-2RCT_2-2,A,60,1.010428,0.062906,1.012352,0.003957,0.353593,0.437301,0.870148,1.188251,0.318103,0.939967,0.97125,1.004326,1.045454,1.084348,0.074204,0.062256,1.173753,1.001904,1.175988,-0.068623,-0.16588,0.008204,0.072041,2.073339,0.576271,0.576271,0.266667,0.084907,0.262835,0.021818,0.098883,-1.336377,4.483961,0.45,17.430311,31.759195,50.810493,0.998094,
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-6,Case-2RCT_2-2,Case-2RCT_2-6,双因素,,,,,,original,Case-2RCT_2-6,B,60,1.417456,0.072897,1.419298,0.005314,0.360758,-0.006997,1.264705,1.609514,0.344809,1.318687,1.373127,1.412372,1.462057,1.507325,0.088929,0.051428,1.134021,1.0013,1.135495,0.047496,-0.057699,0.010122,0.076313,1.904777,0.508475,0.508475,0.266667,0.150988,0.243995,0.018345,0.240546,-1.044364,4.273373,0.45,16.164529,32.406803,51.428668,0.998701,2.079442
pressure,MPa,Case-2RCT_2-2 vs Case-2RCT_2-6,Case-2RCT_2-2,Case-2RCT_2-6,双因素,,,,,,final_comm,Case-2RCT_2-2,A,60,0.811273,0.028609,0.811769,0.000818,0.00401,-0.538494,0.752521,0.878676,0.126155,0.773694,0.793047,0.808714,0.830822,0.848145,0.037774,0.035264,1.082421,1.000611,1.083082,-0.037334,-0.232898,0.001644,0.034108,2.008349,0.474576,0.474576,0.483333,0.131447,0.26261,0.026416,0.290991,-1.652557,4.054714,0.466667,16.106291,42.427783,41.465927,0.999386,3.091042
